vehicle_id,charge_start_time,charge_end_time,mileage,charge_start_soc,charge_end_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp
1,20171116161033,20171116170903,71710.6,44.0,90.8,370.5,383.9,-29.8,-40.1,21.0,13.0
1,20171210190533,20171210193743,75816.9,34.0,60.4,365.1,379.9,-25.9,-40.4,14.0,9.0
1,20180104213535,20180105042334,79867.3,39.2,100.0,364.0,399.9,-7.6,-7.8,11.0,2.0
1,20180215211935,20180216051456,86867.6,28.8,,362.9,399.9,-7.6,-7.6,8.0,3.0
2,20180525192134,20180526025112,67266.3,35.0,99.0,350.8,397.0,-9.4,-5.0,32.0,27.0
2,20180604123748,20180604131619,70420.9,30.0,81.0,350.8,394.6,-33.6,-42.8,36.0,29.0
2,20180605133119,20180605140120,70809.7,24.0,70.0,350.9,387.8,-57.0,-57.7,34.0,29.0
3,20171201224526,20171201234816,142088.0,6.4,31.6,319.5,370.7,-25.7,-16.2,27.0,10.0
3,20180123145343,20180123160544,150811.0,11.2,34.4,330.5,371.5,-84.2,-15.4,16.0,1.0
3,20180304225122,20180305015229,155400.0,58.0,86.0,349.4,374.5,-8.5,-7.9,14.0,6.0
3,20180519113736,20180519122556,169134.0,82.0,90.0,365.6,372.6,-8.1,-8.0,27.0,23.0
3,20180610123152,20180610132701,172287.0,46.0,86.0,344.0,373.9,-70.5,-16.3,34.0,24.0
4,20171112103219,20171112105729,68676.7,67.0,100.0,542.5,574.1,-149.0,-1.0,26.0,19.0
4,20171224023938,20171224034938,79047.3,35.0,100.0,540.6,557.5,-64.0,-1.0,32.0,0.0
4,20180202231349,20180203000559,87592.5,52.0,100.0,541.9,566.9,-64.0,-6.0,32.0,11.0
4,20180410230708,20180411000158,102199.2,44.0,100.0,541.6,560.2,-100.0,-2.0,39.0,0.0
4,20180515102620,20180515105500,109968.7,68.0,98.0,533.9,553.2,-20.0,0.0,39.0,34.0
4,20180603165458,20180603170138,114097.7,62.0,73.0,539.7,543.6,-165.0,0.0,43.0,37.0
4,20180707120753,20180707125233,122619.9,41.0,87.0,531.2,545.0,-9.0,0.0,45.0,36.0
5,20171106221758,20171106235228,67479.9,30.0,100.0,562.5,591.6,-179.0,-6.0,41.0,0.0
5,20171231133651,20171231140901,82498.3,40.0,83.0,558.3,575.0,-189.0,-189.0,34.0,23.0
5,20180102221258,20180102230628,83131.5,24.0,100.0,559.0,595.4,-200.0,-3.0,43.0,27.0
5,20180305011308,20180305022238,97716.3,35.0,100.0,552.3,600.9,-23.0,-1.0,41.0,0.0
5,20180416220429,20180416230059,107652.3,28.0,98.0,560.4,571.3,-172.0,-45.0,33.0,0.0
5,20180528115128,20180528120618,117498.5,56.0,76.0,559.1,563.1,-168.0,0.0,43.0,35.0
5,20180627234721,20180628004111,124608.5,26.0,98.0,545.1,565.5,-16.0,0.0,50.0,36.0
5,20180712115241,20180712121221,127980.4,57.0,83.0,560.3,564.7,-189.0,0.0,45.0,0.0
